created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2023-06-02T12:10:20+02:00,159,469,1625,4.07700,3658,,,,
2023-06-02T14:54:49+02:00,160,462,1600,4.07500,3682,,,,
2023-06-03T04:51:10+02:00,161,469,1625,4.07500,3682,,,,
2023-06-03T14:19:05+02:00,162,461,1597,4.07400,3710,,,,
2023-06-04T14:13:14+02:00,163,457,1583,4.07400,3724,,,,
2023-06-04T17:57:20+02:00,164,442,1531,4.07200,3776,,,,
2023-06-05T11:52:42+02:00,165,433,1500,4.07100,3807,,,,
2023-06-05T16:06:55+02:00,166,426,1476,4.07100,3831,,,,
2023-06-05T18:06:27+02:00,167,418,1448,4.07200,3859,,,,
2023-06-06T07:47:47+02:00,168,426,1476,4.06900,3859,,,,
2023-06-06T09:32:24+02:00,169,419,1451,4.07100,3883,,,,
2023-06-06T12:46:47+02:00,170,412,1427,4.07100,3907,,,,
2023-06-06T17:45:43+02:00,171,404,1399,4.06900,3935,,,,
2023-06-06T20:00:12+02:00,172,390,1351,4.07100,3984,,,,
2023-06-06T22:14:39+02:00,173,398,1379,4.06900,3984,,,,
2023-06-07T16:25:06+02:00,174,391,1354,4.06700,4008,,,,
2023-06-07T18:09:44+02:00,175,382,1323,4.06700,4039,,,,
2023-06-08T08:36:02+02:00,176,389,1347,4.06600,4039,,,,
2023-06-08T12:20:15+02:00,177,382,1323,4.06600,4063,,,,
2023-06-08T19:48:27+02:00,178,375,1299,4.06700,4088,,,,
2023-06-09T04:01:17+02:00,179,383,1327,4.06700,4088,,,,
2023-06-09T10:29:44+02:00,180,375,1299,4.06600,4115,,,,
2023-06-09T19:57:35+02:00,181,366,1268,4.06600,4146,,,,
2023-06-09T20:42:24+02:00,182,359,1244,4.06600,4171,,,,
2023-06-10T08:24:30+02:00,183,365,1264,4.06600,4171,,,,
2023-06-10T09:24:19+02:00,184,358,1240,4.06600,4195,,,,
2023-06-10T12:53:38+02:00,185,351,1216,4.06600,4219,,,,
2023-06-10T20:21:48+02:00,186,338,1171,4.06400,4264,,,,
2023-06-11T07:33:51+02:00,187,345,1195,4.06600,4264,,,,
2023-06-11T11:47:58+02:00,188,335,1160,4.06400,4299,,,,
2023-06-11T17:31:38+02:00,189,328,1136,4.06400,4323,,,,
2023-06-11T17:46:37+02:00,190,319,1105,4.06400,4354,,,,
2023-06-11T18:16:31+02:00,191,327,1133,4.06400,4354,,,,
2023-06-11T18:31:29+02:00,192,319,1105,4.06400,4382,,,,
2023-06-11T20:31:00+02:00,193,305,1057,4.06400,4430,,,,
2023-06-12T02:14:26+02:00,194,312,1081,4.06400,4430,,,,
2023-06-12T08:27:49+02:00,195,305,1057,4.06400,4455,,,,
2023-06-12T09:42:33+02:00,196,314,1088,4.06400,4455,,,,
2023-06-12T10:42:23+02:00,197,304,1053,4.06400,4489,,,,
2023-06-12T11:27:15+02:00,198,312,1081,4.06300,4489,,,,
2023-06-12T11:42:13+02:00,199,303,1050,4.06400,4521,,,,
2023-06-12T16:11:18+02:00,200,296,1025,4.06400,4545,,,,
2023-06-12T20:25:11+02:00,201,284,984,4.06400,4586,,,,
2023-06-12T20:40:10+02:00,202,291,1008,4.06300,4586,,,,
2023-06-12T23:09:31+02:00,203,300,1039,4.06400,4586,,,,
2023-06-13T02:08:43+02:00,204,293,1015,4.06400,4611,,,,
2023-06-13T10:06:47+02:00,205,300,1039,4.06400,4611,,,,
2023-06-13T10:36:42+02:00,206,289,1001,4.06300,4649,,,,
2023-06-13T11:51:27+02:00,207,296,1025,4.06400,4649,,,,
2023-06-13T13:06:17+02:00,208,323,1119,4.06300,4649,,,,
2023-06-13T13:21:16+02:00,209,287,994,4.06300,4773,,,,
2023-06-13T14:50:59+02:00,210,295,1022,4.06300,4773,,,,
2023-06-13T16:05:44+02:00,211,288,998,4.06300,4798,,,,
2023-06-13T19:34:50+02:00,212,281,973,4.06300,4822,,,,
2023-06-14T00:33:25+02:00,213,288,998,4.06300,4822,,,,
2023-06-14T12:00:35+02:00,214,325,1126,4.05900,4822,,,,
2023-06-14T12:15:35+02:00,215,281,973,4.06100,4974,,,,
2023-06-14T12:45:32+02:00,216,305,1057,4.06300,4974,,,,
2023-06-14T13:00:31+02:00,217,285,987,4.06100,5044,,,,
2023-06-14T14:00:26+02:00,218,278,963,4.06300,5068,,,,
2023-06-14T16:44:49+02:00,219,271,939,4.06100,5092,,,,
